out,text
0.0,job
0.0,seo director technical focus
0.0,"seeking experienced seo director lead agency search engine optimization efforts, particular emphasis technical seo."
0.0,"role, youll drive organic growth client innovative strategy cuttingedge technical optimizations."
0.0,responsibilities:
0.0,technical seo leadership:
0.0,"spearhead technical seo audits, identifying prioritizing critical issue impacting site performance search visibility"
0.0,"develop implement advanced technical seo strategies, including site architecture optimization, crawlability improvements, indexation management"
0.0,collaborate development review code make cogent change request consider technical limitation
0.0,strategy execution:
0.0,create comprehensive seo roadmaps aligned client kpis business objective
0.0,"oversee execution onpage offpage seo tactics, ensuring alignment best practice search engine guideline"
0.0,"stay forefront seo trends, algorithm updates, emerging technologies, incorporating new approach client strategy"
0.0,develop execute local seo program brick mortar service area type business
0.0,management client relations:
0.0,"lead mentor seo specialists, fostering culture continuous learning innovation"
0.0,"serve primary point contact highpriority clients, communicating complex seo concept clear, actionable term"
0.0,collaborate crossfunctional integrate seo broader digital marketing initiative
0.0,help strategy development planning new business pitch well delivery pitch
0.0,requirements:
0.0,"seo experience, least leadership role"
1.0,"deep expertise technical seo, including javascript frameworks, ecommerce platforms, various content management system"
1.0,"strong analytical skill proficiency seo tool like google search console, site crawlers, brightedge, conductor, similarweb, botify, etc."
0.0,proven track record driving significant organic growth client technical seo optimization
0.0,excellent project management leading crossfunctional
0.0,"strong communication skills, written verbal, explain complex technical concept nontechnical stakeholder"
0.0,preferred qualification
0.0,agency inhouse corporate preferred
1.0,"advanced knowledge html, css, javascript"
0.0,familiarity log file analysis largescale data processing
0.0,international seo hreflang implementation
1.0,understanding machine learning ai application seo
0.0,planning executing business pitchesproposals
0.0,"agency, youll opportunity diverse clients, leverage cuttingedge seo tools, lead talented professionals."
0.0,"youre passionate technical seo ready drive organic growth scale, want hear you."
1.0,"business system project manager provide analysis, design, programming solutions, support sap shana business system efficiently economically consistent user business objectives."
0.0,"prioritize projects, allocate resources, application specialist."
1.0,"addition, plan direct installation support business system sap project involving multiple system impacting multiple functional area business."
0.0,required skills:
1.0,demonstrated project management configuration programming knowledge sap ecc andor sap shana. sap shana plus.
1.0,business intelligence report writing platforms.
1.0,using rd party toolssystems sap.
0.0,strong analytical problemsolving skills.
0.0,excellent oral written communication skill using english language translate business need application system change ensure successful business processes.
0.0,required experience:
0.0,education requirements:
1.0,"b management information systems, computer science, related field"
0.0,job title: techsavvy financial planner join innovative
0.0,job description:
0.0,"looking forwardthinking, technologydriven firm offer collaborative growthoriented environment"
0.0,"join dynamic financial planning team, serve highnetworth client nationwide."
0.0,"role, deliver tailored financial planning service existing book business opportunity build client base within mountain time zone."
0.0,"looking selfmotivated, detailfocused professional passionate financial planning eager grow within supportive team."
0.0,"role, will:"
0.0,leverage innovative tool technology streamline financial planning process enhance client experiences.
0.0,"build maintain strong relationship clients, ensuring financial goal met comprehensive financial planning."
0.0,contribute refinement wealth transition strategy planning services.
0.0,embrace opportunity professional development fastevolving financial landscape.
0.0,qualification experience:
1.0,emoney must
0.0,"least financial advisory, including advice planning, book business management, client relations, minimum wealth management highnetworth individuals."
0.0,proven track record managing client book business high level client satisfaction loyalty.
1.0,"strong understanding financial planning, investment strategies, industry regulations."
0.0,demonstrated applying trust estate planning principle enhance client wealth preservation.
0.0,"bachelor degree accredited institution preferred major include financial planning, finance, accounting."
1.0,"preferred designation include cfp, cpa, cima, ea, equivalent education."
0.0,"finra series , , license"
1.0,"familiarity financial planning software emoney preferred, tax modeling bna income tax planner preferred, tax preparation software cch access preferred."
1.0,proficiency excel data visualization tools.
0.0,"exceptional analytical skills, well strong written verbal communication abilities."
0.0,company overview:
0.0,"ameriflex group leading hybrid ria, helping client navigate major life transitions."
0.0,"headquarters la vegas, nv, advisor across country manages asset exceeding billion."
1.0,prioritize planningfirst approach offer unique hybrid platform includes advisorowned ria partner advisor ownership model.
0.0,brokerdealer partner osaic.
0.0,location:
0.0,flexible remote inperson mountain coast time zone preferred
0.0,salary benefits:
0.0,"earn competitive salary , ,, depending credentials."
0.0,"comprehensive benefit package includes k, health insurance, reimbursement approved professional development expenses."
0.0,application process:
0.0,"apply, please send resume compelling cover letter stacy leal stacytheameriflexgroup.com."
0.0,contact information:
0.0,stacy leal phone: ameriflex.com
0.0,equal opportunity employer statement:
0.0,ameriflex group committed fostering diverse inclusive workplace.
0.0,"equal opportunity employer, qualified candidate receive consideration employment regardless race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability."
0.0,seeking experienced class c licensed groundwater plant operator.
0.0,ideal candidate responsible operating maintaining equipment used treatment groundwater ensure compliance regulatory standards.
0.0,duty
0.0,utilize logic controller monitor control groundwater treatment process
0.0,operate heavy equipment water treatment purpose
0.0,"build, maintain, repair water treatment system"
0.0,apply mechanical knowledge troubleshoot resolve equipment issue
0.0,use basic math skill analyze data related groundwater treatment process
0.0,collect data water quality treatment efficiency
0.0,distributed control system manage groundwater treatment operation
0.0,skill
0.0,proficiency groundwater treatment process
0.0,logic controller monitoring controlling system
0.0,operate heavy equipment effectively
0.0,strong mechanical knowledge maintenance repair task
1.0,basic math skill data analysis
0.0,capability analyze maintain groundwater treatment system
0.0,familiarity data collection method groundwater treatment operation
0.0,"job types: fulltime, temporary"
0.0,pay: . per hour
0.0,expected hours: per week
0.0,schedule:
0.0,hour shift
0.0,day shift
0.0,monday friday
0.0,weekend needed
0.0,required experience:
0.0,plant operator: required
0.0,wastewater treatment: preferred
0.0,groundwater: required
0.0,groundwater monitoring: required
0.0,groundwater remediation: required
0.0,class c license required
0.0,class c license class b: preferred
0.0,commute:
0.0,"houston, tx required"
0.0,relocate:
0.0,"houston, tx: relocate starting required"
0.0,location:
0.0,person
0.0,company description
0.0,"integrity, llc founded create value client providing efficient world class engineering, software, consulting services."
1.0,"specialize pipeline integrity management, ili technology, regulatory compliance, software enabled engineering services."
0.0,strive provide client enjoyable professional environment.
0.0,differentiator staff collaborative culture.
0.0,"headquartered houston, tx."
0.0,role description
0.0,"integrity, llc looking grow inline inspection ili specialist."
0.0,fulltime position primarily remote scheduled person meetings.
1.0,ili specialist responsible working integrity engineer perform analysis assessment using ili data.
1.0,"principal task include performing calculations, data analysis, generating reports, supporting client directly."
0.0,responsibility
1.0,interpret ili report signal data various ili technologies.
1.0,perform calculation data integration using ili data integrity assessment related various integrity threat including limited to:
1.0,dent strain eca using geometry ili data
1.0,bending strain strain change assessment using imu ili data
1.0,box matching cgr analysis using mfl ut ili data.
1.0,various ili related task associated signal analysis.
1.0,"support integrity engineer implement various evaluation using api , api , api ."
0.0,produce report document result analysis.
1.0,maintain understanding various ili technology application integrity assessments.
1.0,working knowledge regulatory requirement related ili.
0.0,"display strong organizational communication skill related status projects, analysis performed, result assessments."
0.0,delivery report ontime.
0.0,develop maintain competency various service offerings.
0.0,identify learning opportunity selfimprovement.
0.0,identify process improvement opportunities.
0.0,adhere company handbook.
0.0,qualification
1.0,"current level ili data analyst certification preferred mfl, geo, imu, ut, emat."
1.0,"b science, technology, engineering, mathematics preferred, equivalent experience."
1.0,minimum related inspection analysis pipeline integrity management.
1.0,"ili data analysis interpretation, including mfl, ut, nde technologies."
1.0,strong data analysis communication skills.
1.0,knowledge gi software spatial data analysis plus.
0.0,considerations:
0.0,sponsorship available.
0.0,canadian mexican applicant eligible contractors.
0.0,compensation benefit
0.0,fulltime position
0.0,remote
0.0,competitive salary
0.0,quarterly bonus
0.0,annual bonus
0.0,"medical, dental vision insurance u"
0.0,k u
0.0,"director institutional research decision support play crucial role college, leading effort strategically utilize data informed decisionmaking."
0.0,"senior position involves guiding quality interpretation data, synthesizing enhance process inform planning."
0.0,"collaboration senior leadership, director ensures equitable student outcome remain primary focus comprehensive research planning."
0.0,empathetic communication: able complex technical concept nontechnical stakeholder grace fostering collaborative inclusive environment.
0.0,enjoys puzzle solving problems: solving problem extracting actionable insight data provide answer solutions.
0.0,"strategic thinker: able think strategically data leveraged drive innovation, gain competitive advantage, create value college."
0.0,required qualifications:
0.0,"three administrative data science, institutional research, compliance reporting"
0.0,three supervisory experience.
1.0,visualization tool power bi rpython.
0.0,two supervisory
0.0,familiarity research college student persistence success.
0.0,project management certification pmp.
1.0,chalice custom algorithm chalice.ai leading ai application brand applying data analytics realtime decisioning ad buys.
1.0,"chalice software automates data ingestion, predictive analytics, deployment custom bidding instruction supervisedlearning environment, advertiser visualize test custom algorithms."
0.0,"advertiser algorithm deployed major dsps, well meta youtube."
1.0,"chalice named best demand side tech adexchanger, powered adweeks best use programmatic medium plan awards."
0.0,key responsibilities:
0.0,"lead associate director chalice, will:"
0.0,act leader: lead customer success initiative impact across company.
0.0,establish scalable process build highperforming customer success team.
1.0,"consult product development: collaborate across solution architecture, data science engineering develop product feature best support customer adoption growth."
1.0,"lead technical problem solving: collaborate engineers, data scientists, product manager address complex technical issues."
1.0,consult customer troubleshooting apis.
0.0,qualifications:
1.0,"experience: demonstrated within ad tech, either customer success, ad ops, client service trading."
1.0,data science centric applied ai technology plus.
1.0,"technical proficiency: familiarity programmatic ideally, social, advertising platform ai technology plus, allowing efficient troubleshooting guidance."
1.0,"joining chalice mean forefront ai advertising, working stimulating dynamic environment encourages creativity, growth, innovation."
0.0,"value diversity, collaboration, dedication making meaningful impact advertising landscape."
0.0,chalice profitable earlystage company funding industry insider including trade desk td venture aperiam ventures.
0.0,chalice philosophy:
1.0,ai important brand outsource
1.0,ai transparent auditable
0.0,strive excellence fostering learning creating supportive environment.
0.0,"nonconformist, independent thinker"
0.0,"committed driven diversity thought, background, experience, creating psychological safety thrive"
0.0,"learn chalice, visit website."
0.0,www.chalice.ai
0.0,location:
0.0,"chalice based nyc, hybrid officeremote site."
0.0,"role based ny, expectation day week office."
0.0,compensation:
0.0,"role offer competitive base salary range , ,, depending experience."
0.0,compensation includes equity fast growing early stage company.
0.0,benefit include:
0.0,medical
0.0,dentalvision
0.0,k option
0.0,unlimited pto
0.0,company holiday
0.0,office wide closure christmas eve new
1.0,"youre ready part thats shaping future advertising custom ai solutions, reach out, let create something amazing together"
0.0,chalice participates everify.
0.0,"chalice provide social security administration ssa and, necessary, department homeland security dhs, information new employee form confirm authorization."
0.0,"information, visit https:www.uscis.goveverify."
0.0,codédex looking senior curriculum developer contractor spearhead curriculum production.
0.0,fulltime contract position month opportunity transition fulltime salary equity position join founding team.
0.0,"expect hour per week daily standup meetings, biweekly curriculum meetings, twice month :s."
0.0,codédex
0.0,codédex brand new learn code platform gen z.
0.0,mission next generation technologist absolute best learning
0.0,"pillar make codédex: gamification, worldclass content, community."
0.0,https:www.codedex.io
0.0,"based brooklyn, ny."
0.0,office dumbo two day week tue thu wfh three monwedfri.
0.0,"remotefriendly cst est, prefer nycbased candidate."
0.0,responsibility
0.0,architect bytesized interactive coding
0.0,review project tutorial written community
0.0,"apply pedagogy best practice break dry technical concept fun, digestible component"
0.0,collaborate closely engineering innovate push boundary learning code online
0.0,colead curriculum biweekly meeting move ball forward
0.0,address bug report curriculum feedback community
0.0,lead workshop office hour time quarter
0.0,report founder ceo
0.0,qualification
1.0,"working curriculum writing, technical writing, similar, preferably edtech"
1.0,"strong foundation web dev, data science, andor ai htmlcss, js, react, command line, python, etc."
1.0,proficiency markdown github
0.0,strong command written spoken english
0.0,writing educational content reach broad audience different age group
0.0,communicating remotehybrid
0.0,"scrappy, resourceful, enjoy working fastpaced sometimes chaotic startup environment"
0.0,selfmotivated big player
0.0,bonus point
0.0,professional teaching classroom andor online
1.0,deep knowledge popular edtech platform
0.0,sweat detail eye design
0.0,want grow company come
0.0,get ground floor early receive onceinalifetime building startup
0.0,"grow alongside stellar, ultrapassionate teammate nyc office lunch provided"
0.0,attend quarterly offsites nyc elsewhere
0.0,opportunity transition fulltime member founding month
0.0,"hourly pay range position , depending"
0.0,hiring process
0.0,min: screening call hiring manager.
0.0,submit past workportfolio example submit short compensated takehome assignment.
0.0,min: call members.
0.0,min: final interview hiring manager prefer onsite.
0.0,huddle internally follows decision
0.0,"seems like fit you, apply connect u"
0.0,office tour: https:www.instagram.compc_sybops
0.0,team: https:www.codedex.ioabout
0.0,"youre enthusiastic working serviceoriented role eager contribute mission, encourage apply today"
0.0,requirements:
0.0,bachelor degree
0.0,"retail operations, preferably credit union banking environment."
0.0,"least relevant experience, ideally consulting environment part inhouse, crossfunctional product team."
1.0,"strong versatility product across multiple digital platform including ios, android, web, tv, auto, voice, wearables, iot smart devices."
1.0,excellent communication skill strong present defend strategic choice persuasively.
0.0,bonus point you...
0.0,"role report vice president, operations."
0.0,flsa status: exempt
0.0,"salary range: , ,"
0.0,essential duty responsibilities:
1.0,"develop, maintain, optimize powerbi dashboards, analytic reports, data visualization documenting user requirement departments."
1.0,"perform data mining data lake using sql tool extract valuable insight serving subject matter expert company data lake, understanding data stored."
0.0,minimum qualification
0.0,"education, training,"
1.0,"bachelor degree industrial engineering, business analytics, statistics, business intelligence, related field experience."
1.0,"performing operation business analysisintelligence, quantitative qualitative analysis, predictive analytics, business case development, operation analysis, etc."
1.0,lean six sigma black belt certification
0.0,special requirement
0.0,must able pa criminal background check obtain maintain federally mandated security clearance required airport.
0.0,valid driver license required
0.0,valid passport obtain travel visa travel authorization required
0.0,"knowledge, skills, abilities."
0.0,requirement
0.0,knowledge
1.0,"core competency statistics, visualization, data mining modeling."
1.0,"understanding wide variety analytical processes, tools, approaches."
1.0,high level understanding data gathering transformation tool
0.0,skill
1.0,expert level powerbi tableau inclusive dax programming
1.0,intermediate level sql developer oracle
1.0,predictive modelingforecasting time series analysis regression initiative
1.0,"expert level microsoft excel vba, powerquery, access add"
0.0,"active listening: give full attention people saying, take time understand point made, ask question appropriate, interrupt inappropriate times."
0.0,time management: manage one time time others.
0.0,coordination others: adjust action relation others actions.
0.0,judgement decision making: consider relative cost benefit potential action choose appropriate one.
0.0,
0.0,structuring delivering presentation communication targeted company leadership stakeholders.
0.0,"independently efficiently, often without direct supervision."
0.0,quickly learn potentially unfamiliar topics.
0.0,excellent verbal communication skills.
0.0,aviation industry preferred.
0.0,comprehend oral information: listen understand information idea presented spoken word sentences.
0.0,speak: information idea speaking others understand.
1.0,"management small growing frontend, backend, devops, data science employeesconsultants"
1.0,"bachelor degree computer science, data science, related subject"
1.0,javajava script development best practice
1.0,"advanced degree data science, computer science, andor management"
1.0,"expertise python, r, iot system"
1.0,"programming data analysis language e.g., python, r, matlab, fortran."
1.0,"bachelor master degree additional certification computer science, data science, related field."
1.0,"master degree relevant discipline health administration, public health, data science business, bachelor degree relevant experience."
1.0,department electrical computer engineering seek hire faculty member expertise trustworthy ai machine learning.
1.0,"key area interest include, limited robustness, security, privacy, interpretability, fairness safety machine learning ai system andor theoretical perspectives."
1.0,"desired includes xmidas, python, gnuradio, julia, matlab development skills."
1.0,"familiarity dsp technique cyclostationary processing, cumulants, cafs, polyphase filterbanks, etc, radar processing, wireless communications, artificial intelligence machine learning, andor satellite engineering."
1.0,"cc, python, julia linux development environment."
1.0,"basic understanding fortran, java, perl, javascript, xml, json, language aid development"
1.0,"familiarity cython, swig, pythonicc wrapper crosscompiler support desired."
1.0,"nice have, machine learning artificial intelligence"
1.0,"familiarity python library scikitlearn, scikitimage, numpy, scipy, mayavi, matplotlib, pandas, keras, tensorflow, caffe, nltk, statsmodels, pybrain"
1.0,"integrated data science pursuing advanced data science create novel enduser inspired solution address complex analysis, simulation, prediction across translational sciences."
1.0,"partner technical analytics data science resource build experimentation roadmap, create actionable performance analysis, establish reporting views, distill insight feed back medium strategy"
1.0,"strong quantitative, programming skill python sql, familiarity tabpy."
1.0,"analytics using big data, python, r."
1.0,"subject matter expert around machine learning, statistical, econometric time series technique alongside hybrid develop accurate, granular demand forecast"
1.0,"statisticaleconometric time series modeling arima, exponential smoothingets, glmsgams, dynamic factor models, etc., machine learning xgboostlightgbm, rnns, transformers, etc., hybrid time series technique esrnn, nbeats, tft."
1.0,"proficiency python, sql, git"
1.0,"consultant leverage advanced analytics, machine learning, cloudbased, automated modeling platform build predictive sale model deliver business insight change client plan, advertise, grow business."
1.0,"oversee modeler sculpt data ingestion tools, usually python."
0.0,"help client understand spending much little, worked didnt work, why."
0.0,build marketing budget optimization help client maximize sale marketing roi.
0.0,client license software modeling.
0.0,day coaching great modeler too.
1.0,"graduate degree analytics, data science, operation research, industrial engineering, statistics, economics, quantitative field"
0.0,marketing mix modeling
1.0,python skills.
1.0,mainly python shop analytics consulting team.
1.0,"good knowledge regression, elastic net, related machine learning methods."
1.0,"might ask variety thing marketing mix models, price promotion models, automated machine learning projects, coaching client modeling projects."
1.0,"deep knowledge one following domains: embedded cpu subsystem architecture highspeed digital signal processing, computer vision, machine learning highperformance serial interface protocol lowpower design methodology mixedsignal design fpga prototyping."
1.0,strong rtl verilogsystem verilogvhdl coding skill handson programming language perltclpythonc.
1.0,"also utilize sagemaker machine learning, kafka realtime data streaming, route dns services, secret manager secure access management."
1.0,"proficiency programming language python go essential, alongside devops tool like docker gitlab support efficient secure development deployment processes."
1.0,"expertise wide variety programming language c, c, c, python, matlab, simulink."
1.0,"machine learning, computer vision, autonomous systems."
1.0,"statistical software sql, r, python, power bi."
1.0,developing implementing machine learning algorithm predictive insights.
1.0,"successful candidate expected teach beginning advanced topic biostatistics, statistical literacy, statistical programming sas, stata, spss, r python, mathematically inclined student mathapprehensive student undergraduate graduate levels."
1.0,"strong interest influence nextgeneration development high performance computing processor supercomputers, graph analyticsaimachine learning socs custom asics partner xeon processor, join."
1.0,"proven proficiency python programming familiarity data analysis tool r, matlab, sql."
1.0,"syntes ai: syntes ai forefront ai machine learning revolution, offering cuttingedge enterprise framework integrates data management, aiml, advanced analytics single, powerful platform."
1.0,"strong understanding ai, machine learning, data management highly preferred."
1.0,"knowledge data analysis tool e.g., google analytics, power bi, tableau, looker, helium , jungle scout, data studio, sql, python, supermetrics, etc."
1.0,"within data science, data engineering, machine learning domain practical application"
1.0,"hand machine learning algorithm like random forest, linear logistic regressions, gradient boosting, classification, gans, anomaly detection algorithm building, evaluating, deploying monitoring ml model scratch."
1.0,strong proficiency python sql
1.0,"extensive knowledge working machine learning librariesframeworks, data processingvisualization tools."
1.0,"drive data science initiative harness predictive analytics, ai, machine learning enhanced decisionmaking product development."
1.0,"proficiency data science methodology tool e.g., python, r, sql, tensorflow."
1.0,"proficiency programming language python, r, matlab."
1.0,strong understanding statistical method machine learning algorithms.
1.0,"machine learning experience, particularly applying ml technique radar signal processing tasks."
1.0,"visualize insight using microsoft office, tableau, python, r"
1.0,"design, develop, test ml application using python, linux, docker"
1.0,"expertise python, r, sql, statistics, data mining"
1.0,"programming r python, strong understanding ecosystems, libraries, best practice"
1.0,designing predictive model machine learning algorithm mine return data set
1.0,"strong programming skill python, r language"
1.0,"machine learning, data modeling skill"
1.0,"design, develop, maintain statistical machine learning data models, metrics, algorithm used analyze large datasets related music consumption, project performance, market trend drive significant results."
1.0,"utilize advanced analytics tool platform e.g., sql, python, r, tableau, bigquery, aws bedrock, etc data processing visualization scale."
1.0,"expert proficiency sql based data manipulation, analysis tool e.g., python, r, etl processes, data visualization platform e.g., tableau, power bi, bigquery."
1.0,"algorithm development: develop refine trading algorithm automate decisionmaking processes, leveraging machine learning ai techniques."
1.0,"machine learning ai: proficiency machine learning algorithm ai techniques, particularly context predictive modeling, anomaly detection, natural language processing nlp."
1.0,"programming languages: strong coding skill language like python, commonly used data analysis, modeling, automation."
1.0,"proven programming languages, machine learning, data visualization statistical analysis."
1.0,"individual senior management across multiple department direction director software strategy analyze prepare automated report clear kpis, working google big query data warehouse utilizing statistical machine learning models."
1.0,"develop implement statistical machine learning model provide correlation analysis, prediction behavior, ."
1.0,proficiency programming language python r use data analytics.
1.0,strong understanding statistical analysis machine learning techniques.
1.0,"provide business insight via thorough analysis, integrate diverse data, contribute advanced quantitative method customer segmentation, maintain statistical model rpython, apply statisticalmachine learning technique trend extraction."
1.0,"assist development, maintenance, enhancement statistical model r python preference opensource coding"
1.0,use statistical machine learning ml technique extract analyze trend database data warehouse
1.0,applying advanced statistical machine learning ml technique
1.0,"econometric modeling, regression analytics machine learning"
1.0,"python, spark, scala, r large scale data analysis"
1.0,"python, jupyter notebook, scala, databricks"
1.0,"also excel vision application leveraging machine learning ml, yolo, opencv, multimodal llm industry pharmaceuticals, semiconductors, automation, robotics, defense technology, core engineering sector mechanical, embedded, signal processing, control systems, drones, missiles."
1.0,"diverse workforce includes skilled tradespeople artificial intelligence, machine learning aiml expert engineer technologist scientist logistics expert business administration professionals."
1.0,"proficiency python, sql, panda relevant machine learning libraries."
1.0,designing developing machine learning deep learning system
1.0,"project combine machine learning, largeeddy simulation, tabletop experiments."
1.0,"skill look for: linux, networking, automation, python java, data analytics"
1.0,"excellent programming skill python, java, proficiency programming languages."
1.0,system administrator interested developing skill deepening related artificial intelligence ai machine learning ml data science
1.0,"interest data science, data engineering, machine learning"
1.0,"project tech stack: apache spark, hive, java, scala, spring, sql, kafka, hadoop."
1.0,"looking strong senior java developer big data hadoop, spark capable build design establish framework order expose distribute risk data wide variety consumer including finance, front office risk systems, trading systems, back office account systems."
1.0,"role senior java developer involves working strong development teams, opportunity big data improving knowledge domain utilizing resource international bank."
1.0,strong knowledge java programming language
